RMP,dV/dtmax,APA,APD20,APD40,APD50,APD90,APDtri,CTA,CTmax,CTD50,CTD90,CTDtri,CTD,Gender,class
-78.165,234.72,104.33,26.765,48.362,80.362,227.36,147,84.089,234.09,342.36,711.36,369,150.99,0,1
-76.758,228.2,103.33,24.184,47.163,79.163,239.16,160,98.24,260.17,328.16,699.16,371,163.06,0,1
-78.28,258.14,106.6,23.745,47.346,82.346,225.97,143.62,94.623,242.44,322.97,688.97,366,148.61,0,1
-78.388,228.57,103.64,23.489,46.247,81.247,221.25,140,93.45,240.7,316.25,680.25,364,148.21,0,1
-77.704,239.96,105.31,22.633,45.996,78.996,227,148.01,80.42,240.88,350,719,369,161.29,0,1
-78.768,240.5,105.46,36.931,57.904,90.904,234.9,144,154.44,317.84,307.9,685.9,378,165.05,0,1
-78.02,231.78,105.44,29.032,50.032,80.032,216.03,136,75.009,237.64,355.03,724.03,369,163.65,0,1
-77.626,223.62,101.93,16.952,42.317,78.317,234.85,156.53,82.721,224.86,316.85,674.85,358,142.91,0,1
-77.924,229.36,103.18,22.706,44.786,79.786,237,157.22,102.61,250.38,306,666,360,148.61,0,1
-77.822,249.65,104.72,20.441,44.279,78.279,230.28,152,97.627,242.19,316.28,681.28,365,145.61,0,1
-78.206,241.82,104.62,23.377,47.592,79.592,221.59,142,65.95,211.48,368.15,740.15,372,146.58,0,1
-77.582,251.71,105.12,24.425,46.995,80.995,231.15,150.16,108.25,252.26,308.15,677.15,369,145.16,0,1
-77.847,238.84,104.21,21.344,44.467,78.467,228.47,150,93.314,240.02,331.47,703.47,372,147.79,0,1
-78.5,251.18,105.42,24.227,45.893,78.893,220.89,142,119.24,277.88,309.89,677.89,368,159.9,0,1
-77.851,250.59,105.41,19.77,46.719,81.719,230.01,148.29,72.964,221.43,355.01,720.01,365,149.41,0,1
-78.105,238.61,103.81,27.547,48.09,81.09,229.09,148,119.73,268.83,315.09,692.09,377,150.49,0,1
-77.651,226.61,103.9,25.604,47.673,80.673,232.08,151.41,88.21,229.4,329.08,696.08,367,142.11,0,1
-78.322,249.31,105.36,25.218,48.422,83.422,230.42,147,125.91,284.83,289.42,645.42,356,159.96,0,1
-78.058,254.32,104.66,24.048,46.169,79.169,227.17,148,115.35,268.31,311.17,683.17,372,154.22,0,1
-78.949,247.38,105.28,25.989,48.455,82.455,207.2,124.75,118.78,280.12,290.03,649.03,359,162.23,0,1
-78.176,227.09,104.49,33.08,57.08,92.08,239.51,147.43,77.962,230,360.51,732.51,372,152.96,0,1
-78.203,242.29,104.89,28.791,48.706,80.706,226.71,146,114.86,274.84,322.71,697.71,375,161.24,0,1
-79.495,249.4,105.91,25.185,47.267,80.267,207.27,127,109.4,261.94,296.27,659.27,363,153.49,0,1
